ID,Plot,surv_id,month,day,year,prim_obsv,sec_obsv,BBL,Age,indiv,detect
22529,1,TR-1.1-2013,5,8,2013,,8,HOLA,A,1,AV
22852,1,TR-1.1-2013,5,8,2013,,8,HOLA,A,1,AV
22530,1,TR-1.1-2013,5,8,2013,,8,HOLA,A,1,AV
20449,1,TR-1.1-2013,5,8,2013,,8,MCLO,A,1,V
23527,1,TR-1.1-2013,5,8,2013,,8,VESP,A,1,AV
21304,2,TR-1.2-2013,5,6,2013,9,,MCLO,A,1,V
20841,2,TR-1.2-2013,5,6,2013,9,,VESP,A,1,V
20841,2,TR-1.2-2013,5,6,2013,9,,VESP,A,1,V
20841,2,TR-1.2-2013,5,6,2013,9,,VESP,A,1,V
20445,3,TR-1.3-2013,5,3,2013,7,,MCLO,A,1,V
20843,4,TR-1.4-2013,5,8,2013,6,,VESP,A,1,V
20846,5,TR-1.5-2013,5,3,2013,7,,WEME,A,1,V
19796,6,TR-1.6-2013,5,3,2013,9,,HOLA,A,1,V
22526,6,TR-1.6-2013,5,3,2013,9,,WEME,A,1,AV
22851,6,TR-1.6-2013,5,3,2013,9,,WEME,A,1,AV
22527,7,TR-1.7-2014,7,16,2014,19,,BRSP,A,2,AV
20448,7,TR-1.7-2014,7,16,2014,19,,CCLO,A,1,V
22531,7,TR-1.7-2014,7,16,2014,,21,HOLA,A,1,AV
20844,7,TR-1.7-2014,7,16,2014,,21,MCLO,A,2,V
20446,8,TR-1.8-2014,6,5,2014,17,,BRSP,A,15,V
20454,8,TR-1.8-2014,6,5,2014,,15,BRSP,A,1,AV
19790,8,TR-1.8-2014,6,5,2014,17,,HOLA,A,5,V
20840,8,TR-1.8-2014,6,5,2014,17,,MCLO,A,10,AV
19793,8,TR-1.8-2014,6,5,2014,17,,VESP,A,8,V
20845,9,TR-1.9-2014,7,17,2014,,21,MCLO,A,1,AV
22524,9,TR-1.9-2014,7,17,2014,,21,VESP,A,1,AV
23525,10,TR-1.10-2014,5,23,2014,18,,CCLO,A,3,V
22856,10,TR-1.10-2014,5,23,2014,18,,HOLA,A,21,V
19793,8,TR-1.8-2014,6,5,2014,17,,VESP,A,8,V
23524,10,TR-1.10-2014,5,23,2014,,14,HOLA,A,2,V
23524,10,TR-1.10-2014,5,23,2014,,14,HOLA,A,2,V
22533,10,TR-1.10-2014,5,23,2014,18,,MCLO,A,63,V
22854,10,TR-1.10-2014,5,23,2014,,14,MCLO,A,26,V
23525,10,TR-1.10-2014,5,23,2014,18,,CCLO,A,3,V
22856,10,TR-1.10-2014,5,23,2014,18,,HOLA,A,21,V
